Element, I1_1, Ang1_1, I1_2, Ang1_2, I1_3, Ang1_3, I1_4, Ang1_4, Iresid1, AngResid1, I2_1, Ang2_1, I2_2, Ang2_2, I2_3, Ang2_3, I2_4, Ang2_4, Iresid2, AngResid2
Line.L_CEI_MT_14813,     4.7621,   -41.69,     4.7621,  -161.69,     4.7621,    78.31,          0,     0.00, 3.1293E-008,    53.47,     4.7621,   138.31,     4.7621,    18.31,     4.7621,  -101.69,          0,     0.00, 3.02214E-008,  -123.69
Line.L_CEI_MT_14814,     4.7621,   -41.69,     4.7621,  -161.69,     4.7621,    78.31,          0,     0.00, 3.56406E-008,    61.09,     4.7621,   138.31,     4.7621,    18.31,     4.7621,  -101.69,          0,     0.00, 3.59375E-008,  -121.22
Line.L_CEI_MT_14815,     4.7621,   -41.69,     4.7621,  -161.69,     4.7621,    78.31,          0,     0.00, 2.93219E-008,    57.32,     4.7621,   138.31,     4.7621,    18.31,     4.7621,  -101.69,          0,     0.00, 3.23459E-008,  -120.26
Line.L_CEI_MT_14816,     4.7621,   -41.69,     4.7621,  -161.69,     4.7621,    78.31,          0,     0.00, 3.32809E-008,    72.07,     4.7621,   138.31,     4.7621,    18.31,     4.7621,  -101.69,          0,     0.00, 2.77606E-008,  -112.69
Line.L_CEI_MT_14817,     4.7621,   -41.69,     4.7621,  -161.69,     4.7621,    78.31,          0,     0.00, 2.68715E-008,    62.10,     4.7621,   138.31,     4.7621,    18.31,     4.7621,  -101.69,          0,     0.00, 2.52017E-008,  -117.51
Line.L_CEI_MT_14818,     4.7621,   -41.69,     4.7621,  -161.69,     4.7621,    78.31,          0,     0.00, 2.84206E-008,    55.01,     4.7621,   138.31,     4.7621,    18.31,     4.7621,  -101.69,          0,     0.00, 2.93994E-008,  -119.41
Line.L_CEI_MT_14819,     4.7621,   -41.69,     4.7621,  -161.69,     4.7621,    78.31,          0,     0.00, 1.92955E-008,    70.25,     4.7621,   138.31,     4.7621,    18.31,     4.7621,  -101.69,          0,     0.00, 1.93179E-008,  -105.38
Line.L_CEI_MT_14820,     4.7621,   -41.69,     4.7621,  -161.69,     4.7621,    78.31,          0,     0.00, 1.4458E-008,    75.07,     4.7621,   138.31,     4.7621,    18.31,     4.7621,  -101.69,          0,     0.00, 1.73985E-008,  -105.52
Line.L_CEI_MT_14821,     4.7621,   -41.69,     4.7621,  -161.69,     4.7621,    78.31,          0,     0.00, 1.21072E-008,    67.38,     4.7621,   138.31,     4.7621,    18.31,     4.7621,  -101.69,          0,     0.00, 1.13396E-008,  -109.18
Line.L_CEI_MT_14822,     4.7621,   -41.69,     4.7621,  -161.69,     4.7621,    78.31,          0,     0.00, 1.33345E-008,    77.91,     4.7621,   138.31,     4.7621,    18.31,     4.7621,  -101.69,          0,     0.00, 1.19721E-008,  -103.50
Line.L_CEI_MT_14823,     4.7621,   -41.69,     4.7621,  -161.69,     4.7621,    78.31,          0,     0.00, 1.31214E-008,   117.47,     4.7621,   138.31,     4.7621,    18.31,     4.7621,  -101.69,          0,     0.00, 2.50766E-009,   -68.20
Line.L_CEI_MT_14824,     4.7621,   -41.69,     4.7621,  -161.69,     4.7621,    78.31,          0,     0.00, 1.12725E-008,   128.29,     4.7621,   138.31,     4.7621,    18.31,     4.7621,  -101.69,          0,     0.00, 1.05573E-008,   -48.58
Line.L_CEI_MT_14825,    432.241,   -41.60,    432.241,  -161.60,    432.241,    78.40,          0,     0.00, 5.98215E-005,   -77.89,    432.241,   138.40,    432.241,    18.40,    432.241,  -101.60,          0,     0.00, 5.98204E-005,   102.10
Line.L_CEI_MT_14826,    432.241,   -41.60,    432.241,  -161.60,    432.241,    78.40,          0,     0.00, 5.98154E-005,   -77.90,    432.241,   138.40,    432.241,    18.40,    432.241,  -101.60,          0,     0.00, 5.98134E-005,   102.10
Line.L_CEI_MT_14827,     2.1076,   -41.65,     2.1076,  -161.65,     2.1076,    78.35,          0,     0.00, 5.9269E-009,   135.00,     2.1076,   138.35,     2.1076,    18.35,     2.1076,  -101.65,          0,     0.00, 4.165E-009,   -26.57
Line.L_CEI_MT_14828,     2.1076,   138.35,     2.1076,    18.35,     2.1076,  -101.65,          0,     0.00, 7.52299E-009,   -68.20,     2.1076,   -41.65,     2.1076,  -161.65,     2.1076,    78.35,          0,     0.00, 8.49752E-009,    99.46
Line.L_CEI_MT_14829,    219.897,   -41.59,    219.897,  -161.59,    219.897,    78.41,          0,     0.00, 2.86062E-005,   -79.22,    219.897,   138.41,    219.897,    18.41,    219.897,  -101.59,          0,     0.00, 2.86091E-005,   100.77
